filename,distance_px,known_distance_mm,pixel_aspect_ratio,scale_x_mm_per_px,scale_y_mm_per_px,unit
APAL23_AP030_2024_07_18 (12).JPG,80.0,5.0,1.0,0.0625,0.0625,mm
APAL23_AP030_2024_07_18 (13).JPG,75.0,5.0,1.0,0.0667,0.0667,mm
APAL23_AP030_2024_07_18 (16).JPG,80.0,5.0,1.0,0.0625,0.0625,mm
APAL23_AP030_2024_07_18 (6).JPG,40.0,5.0,1.0,0.1250,0.1250,mm
APAL23_AP030_2024_07_18 (8).JPG,72.0,5.0,1.0,0.0694,0.0694,mm
APAL23_AP056_2024_07_18 (5).JPG,140.0,5.0,1.0,0.0357,0.0357,mm
APAL23_AP056_2024_07_18 (6).JPG,81.0,5.0,1.0,0.0617,0.0617,mm
APAL23_AP056_2024_07_18 (7).JPG,64.0,5.0,1.0,0.0781,0.0781,mm
APAL23_AP170_2024_07_18 (11).JPG,61.0,5.0,1.0,0.0820,0.0820,mm
APAL23_AP170_2024_07_18 (12).JPG,76.0,5.0,1.0,0.0658,0.0658,mm
APAL23_AP170_2024_07_18 (13).JPG,75.0,5.0,1.0,0.0667,0.0667,mm
APAL23_AP170_2024_07_18 (16).JPG,72.0,5.0,1.0,0.0694,0.0694,mm
APAL23_AP170_2024_07_18 (17).JPG,69.0,5.0,1.0,0.0725,0.0725,mm
APAL23_AP170_2024_07_18 (9).JPG,76.0,5.0,1.0,0.0658,0.0658,mm
APAL23_AP190_2024_07_18 (11).JPG,73.0,5.0,1.0,0.0685,0.0685,mm
APAL23_AP190_2024_07_18 (4).JPG,71.0,5.0,1.0,0.0704,0.0704,mm
APAL23_BAT108_2024_07_18 (4).JPG,79.0,5.0,1.0,0.0633,0.0633,mm
APAL23_BAT108_2024_07_18 (8).JPG,133.0,5.0,1.0,0.0376,0.0376,mm
APAL23_BAT124_2024_07_18 (4).JPG,73.0,5.0,1.0,0.0685,0.0685,mm
APAL23_BAT35_2024_07_18 (2).JPG,71.0,5.0,1.0,0.0704,0.0704,mm
APAL23_F2LK_2024_07_18 (3).JPG,69.0,5.0,1.0,0.0725,0.0725,mm
APRO23_AC13_2024_07_18 (2).JPG,133.0,5.0,1.0,0.0376,0.0376,mm
APRO23_AC40_2024_07_18 (2).JPG,99.0,5.0,1.0,0.0505,0.0505,mm
APRO23_AC55A_2024_07_18 (2).JPG,85.0,5.0,1.0,0.0588,0.0588,mm
APRO23_AP11_2024_07_18 (2).JPG,98.0,5.0,1.0,0.0510,0.0510,mm
APRO23_AP18_2024_07_18 (3).JPG,77.0,5.0,1.0,0.0649,0.0649,mm
APRO23_AP9_2024_07_18 (2).JPG,102.0,5.0,1.0,0.0490,0.0490,mm
APRO23_CN1_2024_07_18 (2).JPG,45.0,5.0,1.0,0.1111,0.1111,mm
APRO23_CN1_2024_07_18 (3).JPG,82.0,5.0,1.0,0.0610,0.0610,mm
APRO23_ML2_2024_07_18 (2).JPG,109.0,5.0,1.0,0.0459,0.0459,mm
MEAN,82.0,5.0,1.0,0.0586,0.066,mm
